Owner,total_capacity,number_of_plants,number_of_countries
Talleres y Aceros SA de CV,1650.0,1,1
Minyuan Iron and Steel Group Co Ltd,1650.0,1,1
Heyuan Derun Steel Co Ltd,1650.0,1,1
Yunnan Desheng Steel Co Ltd,1650.0,1,1
Bangladesh Steel Re-Rolling Mills Ltd,1625.0,1,1
Libyan Iron and Steel Co,1614.0,1,1
Guangxi Deyuan Metallurgy Co Ltd,1600.0,1,1
Jianglong Acheng Iron & Steel Co Ltd,1600.0,1,1
West Alborz Steel Co,1600.0,1,1
North American Stainless Inc,1600.0,1,1
Sanyo Special Steel Co Ltd,1596.0,1,1
Jiangsu HONGTAI Metals Ware Co Ltd,1576.0,1,1
Voestalpine Stahl Donawitz GmbH,1570.0,2,1
Orissa Metaliks Pvt Ltd,1558.0,3,1
Abinski Elektrometallurgicheski Zavod LLC,1550.0,1,1
Infrabuild Australia Pty Ltd,1530.0,2,1
Shanxi Changxin Industry Co Ltd,1520.0,1,1
Jishan Mingfu Steel Products Co Ltd,1520.0,1,1
PT The Master Steel MFG,1500.0,1,1
Pasargad Steel Complex Co,1500.0,1,1
Pomina Steel JSC,1500.0,2,1
Qian'an Zhayi Steel Group Co Ltd,1500.0,1,1
G J Steel PCL,1500.0,1,1
Danyang Longjiang Steel Co Ltd,1500.0,1,1
JSW Steel USA Ohio Inc,1500.0,1,1
Sichuan Shengquan Iron and Steel Group Co Ltd,1500.0,1,1
SteelAsia Manufacturing Corp,1500.0,2,1
Jiangyin Huaxi Steel Co Ltd,1500.0,1,1
Butia Iranian Steel Co,1500.0,1,1
Daido Steel Co Ltd,1500.0,1,1
ESL Steel Ltd,1500.0,1,1
Gerdau Corsa SAPI de CV,1500.0,2,1
Jilin Jingang Lron and Steel Co Ltd,1500.0,1,1
Zarand Iranian Steel Co,1500.0,1,1
AM/NS Calvert LLC,1500.0,1,1
Zhongpu (Handan) Iron and Steel Co Ltd,1500.0,1,1
Guangxi Wuzhou Jinhai Stainless Steel Co Ltd,1500.0,1,1
Henan Fengbao SPECIAL Steel Co Ltd,1500.0,2,1
"Fugang METAL Manufacturing Co.ltd.,jilinjigang Steel Group",1500.0,1,1
Aichi Steel Corp,1495.0,1,1
Arcelormittal Olaberria-Bergara SL,1450.0,1,1
Acciai Speciali Terni SpA,1450.0,1,1
UMK-Stal LLC,1420.0,2,1
Shandong Luli Steel Co Ltd,1400.0,1,1
Yunnan Qujing Iron and Steel Group Co Ltd,1400.0,1,1
Hebei New Wuan Steel Group Wenan IRON&STEEL Co Ltd,1400.0,1,1
Heping Yueshen Steel Industrial Co Ltd,1400.0,1,1
Yantai Walsin Stainless Steel Co Ltd,1400.0,1,1
